id_curriculo_componente;id_curriculo;id_componente_curricular;semestre_oferta;tipo_vinculo_componente;nivel_ensino;id_componente;tipo_componente;codigo;nivel;nome;unidade_responsavel;ch_teorico;ch_pratico;ch_estagio;ch_total;ch_dedicada_docente;ch_ead;cr_max_ead;permite_horario_flexivel;qtd_unidades;procedimentos_avaliacao;equivalencia;pre_requisito;co_requisito;ementa;bibliografia;objetivos;conteudo;competencias_habilidades;referencias;ano_programa;periodo_programa;modalidade;curso_componente;relacao_BES;relacao_BCC;relacao_BTI_L;relacao_BIA
51024688;510230607;2037060;0;OPTATIVO;GRADUAÇÃO;2037060;DISCIPLINA;BSI4302;G;TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO;CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS;60;0;0;60;0;0;20;false;3;;( DCT4302 ) ;;;X;;"Ementa:	Conceitos e Princípios de Segurança da Informação; Classificação e Controle de Ativos da Informação; Segurança do Ambiente Físico e Lógico; Políticas e Planos de Segurança; Segurança no Desenvolvimento de Software; Criptografia, técnicas clássicas e criptanálise; Invasores e ataques; Técnicas de exploração de vulnerabilidades; Segurança em Redes de Computadores.

Fornecer ao aluno uma visão sobre a importância e o valor das informações como um ativo de qualquer organização, entidade, órgão ou indivíduo. Facilitar o desenvolvimento da capacidade de
reconhecer riscos, ameaças e vulnerabilidades dos sistemas de informação. Apresentar soluções e medidas, preventivas e corretivas, para eliminar, corrigir ou defender os sistemas de informação contra as referidas ameaças.
";"Conteúdo 
	Introdução
	Conceitos e Princípios de Segurança da Informação
	Classificação e Controle de Ativos da Informação
	Segurança do Ambiente Físico e Lógico
	Políticas e Planos de Segurança
	Segurança no Desenvolvimento de Software
	Criptografia, técnicas clássicas e criptanálise
	Invasores e ataques
	Técnicas de exploração de vulnerabilidades
	Segurança em Redes de Computadores
";"Ao completar este componente, o aluno será capaz de reconhecer o valor da informação para as organizações, suas principais ameaças e vulnerabilidades e as normas que formalizam as formas de proteção dos sistemas de informação. Será capaz de reconhecer e relacionar os principais riscos envolvidos no desenvolvimento de sistemas de informação. Além disso, será capaz de planejar, implementar e avaliar ferramentas e procedimentos com relação à segurança da informação.

";;2012;2;Presencial;;naodefinido;naodefinido;naodefinido;naodefinido
134045126;134044403;66436;1;OBRIGATÓRIO;GRADUAÇÃO;66436;MÓDULO;IMD1002;G;ANÁLISE COMBINATÓRIA;INSTITUTO METROPOLE DIGITAL;30;0;0;30;0;0;20;true;2;;IMD0019 OU MAT3023 OU MAT0372 ;;;"1.	Conjuntos
1.1 Representação;
1.2	Operações de união, interseção, complemento e suas propriedades.
2.	Princípios de Contagem
2.1 Princípio aditivo e princípio multiplicativo;
2.2 Fatoriais, permutações, arranjos e combinações;
2.3 Princípio da inclusão e exclusão;
2.4	Princípio da casa dos pombos.
3.	Coeficientes Binomiais
3.1.	Triângulo e fórmula de Pascal;
3.2.	Binômio de Newton.
4.	Contando recursivamente.
";;.;".
";;;2024;2;Presencial;;equivalente;equivalente;obrigatoria;naodefinido
133795058;133795010;2054952;0;OPTATIVO;GRADUAÇÃO;2054952;DISCIPLINA;DIM0536;G;TÓPICOS ESPECIAIS EM ENGENHARIA DE SOFTWARE VI;DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA;60;0;0;60;0;0;20;true;3;;;;;"Este componente cobre temas de Engenharia de Software não
contemplados em outros componentes curriculares, podendo variar a cada
oferta de turma. A área de Engenharia de Software é extremamente
dinâmica e requer que, além de um conjunto fixo de componentes
obrigatórios e optativos com ementa pré-definida, se tenha a flexibilidade
de oferecer ao aluno exposição a temas inovadores e de tendências atuais
que, mais tarde, após algum amadurecimento, podem vir a ser
introduzidos como componentes optativos. Para permitir que o aluno
participe de turmas de diferentes temas, no mesmo ou em diferentes
semestres, é necessário termos um conjunto de códigos para que temas
diferentes sejam oferecidos com códigos diferentes pela coordenação do
curso de forma rotativa ao longo do tempo. Este é o sexto componente de
60 horas-aula desta sequência.";;Frameworks Javascript para frontend;Este conteúdo será definido pelo professor de acordo com o PPP e detalhado  no primeiro dia de aula;;;2024;1;Presencial;;optativaES;optativa;optativa;naodefinido
133799104;133797961;69607;0;OPTATIVO;GRADUAÇÃO;69607;MÓDULO;IMD0281;G;TÓPICOS ESPECIAIS EM PRODUÇÃO DE JOGOS DIGITAIS B;INSTITUTO METROPOLE DIGITAL;30;30;0;60;0;0;20;true;3;;;;;Tópicos de interesse da área Produção de Jogos Digitais.;;;;;;;;Presencial;;optativaNova;naodefinido;optativa;naodefinido
172346485;171836029;68510;0;OPTATIVO;GRADUAÇÃO;68510;MÓDULO;IMD0821;G;TÉCNICAS AVANÇADAS PARA MOTORES DE JOGOS DIGITAIS;INSTITUTO METROPOLE DIGITAL;30;30;0;60;0;0;20;true;3;;;IMD0811 ;;Geração procedural. Iluminação volumétrica. Multithread. Física customizada. Estatísticas de performance e otimização. Carregamento assíncrono de assets. Níveis de detalhes dinâmicos .;;a definir.;a definir.;;;2024;2;Presencial;;optativaNova;optativa;optativa;naodefinido
165191459;165191073;23557;0;OPTATIVO;GRADUAÇÃO;23557;DISCIPLINA;MAT0314;G;MATEMATICA PARA ENGENHARIA III;DEPARTAMENTO DE MATEMÁTICA;90;0;0;90;0;0;20;false;3;;( MAT0061 OU MAT0049 ) OU ( DCA0429 ) OU ( MAT0342 ) OU ( MAT0347 ) OU ( ELE0581 ) OU ( PRO1002 OU MAT0024 ) OU ( MAT0232 ) ;( MAT0312 ) OU ( MAT0031 ) ;;Series númericas. Séries de potencia. Equações diferenciais ordinárias. Sistemas de equações diferenciais. Resolução de equações diferenciais em séries de potência. Transformada de Laplace. Série e integrais de Fourier. Equações diferenciais parciais (Elípticas, Parabolicas e hiperbólicas). Transformada de Fourier.;;Séries Númericas. Séries de Potências. Equações Diferenciais Ordinárias. Sistemas de Equações Diferenciais em Séries de Potências. Transformada de Laplace. Séries e Integrais ;"UNIDADE I: SÉRIES NUMÉRICAS
        1.1. Definição e exemplos de limites de seqüências
        1.2. Propriedades dos limites de seqüência
        1.3. Séries convergente e divergente
        1.4. Séries Geométricas
        1.5. Testes de convergência para séries de termos positivos (da comparação, da razão, da raiz e da integral)
        1.6. Séries absolutamente convergentes e condicionalmente convergentes
        1.7. Séries alternadas e o teste de Leibniz.

UNIDADE II:  SÉRIES DE POTÊNCIAS
	2.1. Intervalo de convergência;
	2.2. Continuidade, derivação e integração de potenciais;
	2.3. Séries de Taylor e Mac Laurin;
	2.4. A Série Binominal.

UNIDADE III: EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
        3.1. Equações Diferenciais de 1a Ordem Separáveis;
        3.2. Equações Diferenciais de 1a Ordem Homogêneas;
        3.3. Equações Diferenciais de 1a  Ordem Exatas;
        3.4. Equações Diferenciais de 1a  Ordem Lineares;
        3.5. Teorema de Existência e Unicidade de Soluções de Equações Diferenciais (enunciados e exemplos);
	3.6. Teoria das Soluções das Equações Diferenciais Lineares de orden ""n"";
	3.7. Equações Diferenciais Lineares Homogêneas de 2a Ordem com Coeficientes Constantes (solução em termos das raízes características);
 	3.8. Método dos Coeficientes a determinar e método da variação dos parâmetros.

UNIDADE IV: SISTEMAS DE EQUAÇÕES DIFERENCIAIS
	4.1. Campo Vetorial associado a um sistema de equações diferenciais
        4.2. Solução de sistema de equações diferenciais como curvas integrais do campo vetorial associado
	4.3. Teorema de Existência, unicidade e dependência (contínua ou diferenciável) das condições iniciais (enunciado)
	4.4. Fluxo associado a um campo vetorial
	4.5. Solução geral de um sistema de equações diferenciais lineares.

UNIDADE V: RESOLUÇÃO DE EQUAÇÕES DIFERENCIAIS EM SÉRIE DE POTÊNCIAIS 
	5.1. Solução em torno de um ponto ordinário, casos homogêneo e não homogêneo
	5.2. Solução em torno de um ponto singular regular, método de Fronenius
	5.3. Equação de Bessel e Funções de Bessel.

UNIDADE VI: TRANSFORMADA DE LAPLACE
	6.1. Definição e exemplos da Transformada de Laplace
        6.2. Propriedades da Transformada de Laplace
	6.3. Transformada inversa de Laplace, método das frações parciais e método da convolução.
        6.4. Resolução, pela Transformada de Laplace, de equações diferenciais lineares com coeficientes constantes
        6.5. Resolução, pela Transformada de Laplace, de sistemas de equações diferenciais lineares com coeficientes constantes

UNIDADE VII - SÉRIES E INTEGRAIS DE FOURIER
        7.1 - Funções periódicas e funções seccionalmente contínuas
        7.2 - Definição de séries de Fourier e as condições de Dirichlet para convergência
        7.3 - Séries de Fourier de Senos e Co-senos
        7.4 - Identidade de Parseval
        7.5 - Integração e derivação de séries de Fourier
        7.6 - Notação complexa para as séries de Fourier
        7.7 - Definição e exemplos da integral de Fourier
        7.8 - O teorema da integral de Fourier

UNIDADE VIII - TRANSFORMADA DE FOURIER
        8.1 - Definição e exemplos da transformada de Fourier 
        8.2 - Propriedades da transformada Fourier
        8.3 - Transformada inversa de Fourier 
        8.4 - Transformadas seno e co-seno de Fourier
        8.5 - Identidade de Parseval para integrais de Fourier
        8.6 - O Teorema da Couvolução para transformadas de Fourier

UNIDADE IX - EQUAÇÕES DIFERENCIAIS PARCIAIS  ( ELIPTICAS, PARABÓLICAS HIPERBÓLICAS )
        9.1 - Corda vibrante. Equação da onda unidimensional
        9.2 - Separação de variáveis
        9.3 - Solução de d'Alambert da equação das ondas
        9.4 - Difusão unidimensional do calor
        9.5 - Difusão do calor em uma barra infinita
        9.6 - Membrana vibrante. Equação da onda bidimensional
        9.7 - Membrana retangular
        9.8 - Laplaciano em coordenadas polares
        9.9 - Membrana circular. Equação de Bessel
        9.10-Equação de Laplace. Potencial
        9.11-Equação de Laplace em coordenadas esféricas. Equação de Laplace";;;2024;2;Presencial;;naodefinido;optativa;optativa;naodefinido
171836068;171836029;46937;0;OPTATIVO;GRADUAÇÃO;46937;MÓDULO;ICE1011;G;ANÁLISE DE SINAIS CONTÍNUOS;INSTITUTO DO CÉREBRO;60;0;0;60;60;0;20;true;2;;;;;"Potenciais evocados; Decomposição espectral: o teorema de Fourier; O espectro de potências; Resolução temporal vs freqüência; Decomposições tempo-freqüência discretas e contínuas; Normalizações; Convoluções; Filtros; Wavelets e Medidas de Energia Instantâneas; Autocorrelação e correlação cruzada; Acoplamentos oscilatórios";;"Apresentar métodos clássicos e modernos para a análise de sinais contínuos obtidos em pesquisa em neurociências, como o eletroencefalograma (EEG), o eletrocorticograma (ECoG), o potencial de campo local (LFP), sinais obtidos por magnetoencefalografia (MEG), e por ressonância magnética funcional (fMRI);  familiarizar os alunos à implementação prática destes métodos através da programação de scripts em computador.";"	Módulo 1
Introdução ao Matlab
Observação do sinal cru
Potenciais evocados
Decomposição espectral: o teorema de Fourier
O espectro de potências
Resolução temporal vs freqüência
Obtendo a freqüência pico
A freqüência de Nyquist
Decomposições tempo-freqüência discretas
Normalizações

	Módulo 2
Convoluções
Filtros 
Passa alto 
Passa baixo
Passa banda 
Filtro Notch
Oscilações induzidas/evocadas
Medidas de Energia Instantânea
		RMS
		A transformada de Hilbert e o Envelope de amplitude
Wavelets
Decomposições tempo-freqüência contínuas

	Módulo 3
Autocorrelação e correlação cruzada
Obtendo a fase e freqüência instantâneas
Representações no plano complexo
Acoplamentos fase-fase
		O espectro de coerência
		Índices de acoplamento de fases
Estatística circular
			O teste de Rayleight
			Distribuição de Von Mises
Acoplamentos fase-fase entre freqüências diferentes
Fenômenos de reset oscilatório (induzido vs evocado)
Acoplamentos amplitude-amplitude
Acoplamentos fase-amplitude
Acoplamentos fase- freqüência
";;;2021;2;Presencial;CIÊNCIAS E TECNOLOGIA;naodefinido;naodefinido;naodefinido;naodefinido
172290601;171836029;55612;0;OPTATIVO;GRADUAÇÃO;55612;DISCIPLINA;DCA0126;G;CONTROLE FUZZY DE SISTEMAS DINÂMICOS;DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO;30;30;0;60;0;0;20;false;3;;;( DCA3701 OU DCA0216 OU ELE0522 ) ;;Inteligência artificial e suas aplicações em controle. Lógica e Dedução. Representação do Conhecimento. Métodos de Busca. Introdução aos controladores baseados em conhecimentos. Controladores empregando lógica nebulosa. Métodos de otimização numérica. Sintonia automática de controladores fuzzy empregando otimização numérica.;;"Proporcionar aos alunos o conhecimento de conceitos básicos para o desenvolvimento de projetos de controladores fuzzy aplicados a sistemas dinâmicos. 
";"1. Inteligência artificial e suas aplicações em controle;
 Introdução; Definições e conceitos;
2. Introdução aos controladores baseados em conhecimentos;
 Representação de conhecimentos; Métodos de busca; controladores baseados em conhecimentos;
3. Introdução à lógica fuzzy
 Conceitos básicos; Teoria de conjuntos fuzzy;
4. Projeto de controladores fuzzy;
 Estrutura funcional de controladores fuzzy; Modelos de controladores fuzzy; Ajuste de parâmetros de controladores fuzzy;
5. Otimização numérica em IA;
 Conceitos básicos; Otimização baseada em Meta-heurísticas.";;;2022;2;Presencial;ENGENHARIA MECATRÔNICA;naodefinido;naodefinido;naodefinido;naodefinido
171836051;171836029;77528;0;OPTATIVO;GRADUAÇÃO;77528;MÓDULO;ECT3414;G;EXPRESSÃO GRÁFICA;ESCOLA DE CIÊNCIAS E TECNOLOGIA;0;20;0;54;0;0;20;true;3;;ECT1406 OU ECT2416 ;;;Introdução ao desenho técnico (Normas ABNT, escrita normalizada, tipos e espessura de linhas, folhas para desenho técnico, dobramento de folhas, legendas e escalas). Projeções ortogonais (conceito de projeção, projeção plana, projeção paralela ortogonal em múltiplas vistas - projeções no 1º diedro e no 3º diedro, precedência de linhas, conceito de vistas necessárias. Introdução aos cortes, às seções e à cotagem. Perspectivas (projeções ortogonais axonométricas, projeções oblíquas e projeções centrais). Introdução aos sistemas CAD (apresentação do conceito, evolução dos sistemas CAD, áreas de utilização, aplicação para desenho de componentes).;;"- Capacidade de identificar, avaliar e resolver problemas, enfrentar desafios e responder a novas demandas da sociedade contemporânea;
- Capacidade de comunicação e argumentação em suas múltiplas formas;
- Atitude ética nas esferas profissional, acadêmica e das relações interpessoais;
- Capacidade de utilizar tanto tecnologias clássicas quanto novas, de modo que formem a base das atividades profissionais;
- Capacidade de trabalhar em grupo e em equipes multidisciplinares, gerenciando projetos, coordenando equipes e pessoas em qualquer área em que venha a se inserir profissionalmente;
- Formular e conceber soluções desejáveis de engenharia, analisando e compreendendo os usuários dessas soluções e seu contexto;
- Conceber, projetar e analisar sistemas, produtos, componentes ou processos;
- Comunicar-se eficazmente nas formas escrita, oral e gráfica;
- Trabalhar e liderar equipes multidisciplinares;
- Conhecer e aplicar com ética a legislação e os atos normativos no âmbito do exercício da profissão;
- Aprender de forma autônoma e lidar com situações e contextos complexos, atualizando-se em relação aos avanços da ciência, da tecnologia e aos desafios da inovação.";Introdução ao desenho técnico (Normas ABNT, escrita normalizada, tipos e espessura de linhas, folhas para desenho técnico, dobramento de folhas, legendas e escalas). Projeções ortogonais (conceito de projeção, projeção plana, projeção paralela ortogonal em múltiplas vistas - projeções no 1º diedro e no 3º diedro, precedência de linhas, conceito de vistas necessárias. Introdução aos cortes, às seções e à cotagem. Perspectivas (projeções ortogonais axonométricas, projeções oblíquas e projeções centrais). Introdução aos sistemas CAD (apresentação do conceito, evolução dos sistemas CAD, áreas de utilização, aplicação para desenho de componentes).;;;2024;2;Presencial;;naodefinido;naodefinido;naodefinido;naodefinido
181666188;181661632;80470;0;OPTATIVO;GRADUAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
